num,,,Accuracy_Rate1,,,Accuracy_Rate2,,,Accuracy_Rate3,,,Accuracy_Rate4,,,Accuracy_Rate5,,,Accuracy_Rate6,Avg_Accuracy_Rate_1_2,Avg_Accuracy_Rate_3_4,Avg_Accuracy_Rate_5_6,team_exp_rating,ai_exp_rating,data_skill_rating
1,,,50,,,100,,,100,,,50,,,100,,,100,75,75,100,HIGH,LOW,HIGH
2,,,50,,,0,,,50,,,0,,,50,,,0,25,25,25,LOW,LOW,HIGH
3,,,50,,,50,,,0,,,50,,,0,,,0,50,25,0,LOW,LOW,HIGH
4,,,100,,,50,,,100,,,0,,,50,,,0,75,50,25,LOW,LOW,LOW
5,,,0,,,50,,,100,,,50,,,100,,,50,25,75,75,HIGH,LOW,HIGH
6,,,0,,,50,,,0,,,50,,,0,,,50,25,25,25,LOW,LOW,HIGH
7,,,50,,,50,,,0,,,0,,,0,,,50,50,0,25,LOW,LOW,LOW
8,,,50,,,100,,,50,,,50,,,50,,,0,75,50,25,LOW,LOW,HIGH
9,,,100,,,100,,,50,,,50,,,50,,,0,100,50,25,LOW,LOW,HIGH
10,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,HIGH,HIGH,HIGH
11,,,100,,,0,,,0,,,0,,,0,,,0,50,0,0,LOW,LOW,HIGH
12,,,100,,,50,,,50,,,50,,,50,,,50,75,50,50,HIGH,LOW,HIGH
13,,,50,,,100,,,100,,,50,,,100,,,100,75,75,100,LOW,LOW,HIGH
14,,,50,,,0,,,50,,,0,,,50,,,100,25,25,75,LOW,HIGH,HIGH
15,,,50,,,0,,,0,,,0,,,0,,,50,25,0,25,LOW,LOW,HIGH
16,,,0,,,100,,,0,,,50,,,0,,,100,50,25,50,LOW,HIGH,LOW
17,,,100,,,100,,,100,,,50,,,100,,,50,100,75,75,LOW,LOW,HIGH
18,,,100,,,50,,,100,,,50,,,100,,,100,75,75,100,LOW,LOW,LOW
19,,,100,,,100,,,100,,,50,,,50,,,100,100,75,75,LOW,LOW,HIGH
20,,,100,,,100,,,50,,,0,,,100,,,100,100,25,100,HIGH,LOW,HIGH
21,,,50,,,0,,,0,,,0,,,100,,,50,25,0,75,HIGH,LOW,LOW
22,,,100,,,50,,,50,,,50,,,100,,,100,75,50,100,HIGH,HIGH,HIGH
23,,,50,,,0,,,50,,,0,,,100,,,50,25,25,75,HIGH,LOW,LOW
24,,,0,,,0,,,0,,,0,,,50,,,0,0,0,25,LOW,HIGH,LOW
25,,,100,,,100,,,100,,,50,,,50,,,0,100,75,25,HIGH,HIGH,HIGH
26,,,50,,,0,,,0,,,0,,,50,,,0,25,0,25,HIGH,LOW,LOW
27,,,100,,,0,,,50,,,50,,,100,,,100,50,50,100,HIGH,HIGH,HIGH
28,,,50,,,50,,,100,,,0,,,0,,,50,50,50,25,HIGH,HIGH,HIGH
29,,,100,,,50,,,100,,,50,,,100,,,0,75,75,50,HIGH,HIGH,LOW
30,,,100,,,50,,,100,,,50,,,100,,,100,75,75,100,LOW,LOW,HIGH
31,,,50,,,100,,,100,,,100,,,100,,,100,75,100,100,HIGH,HIGH,HIGH
32,,,100,,,50,,,50,,,50,,,0,,,100,75,50,50,LOW,LOW,HIGH
33,,,100,,,0,,,100,,,50,,,50,,,50,50,75,50,HIGH,HIGH,HIGH
34,,,100,,,100,,,100,,,0,,,100,,,50,100,50,75,LOW,LOW,HIGH
35,,,50,,,100,,,100,,,50,,,100,,,50,75,75,75,HIGH,LOW,HIGH
36,,,100,,,100,,,100,,,100,,,50,,,50,100,100,50,LOW,LOW,HIGH
37,,,100,,,100,,,100,,,100,,,100,,,100,100,100,100,LOW,LOW,HIGH
38,,,100,,,100,,,50,,,100,,,100,,,50,100,75,75,LOW,LOW,HIGH
39,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,HIGH,HIGH,HIGH
40,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,HIGH,LOW,HIGH
41,,,50,,,100,,,100,,,50,,,100,,,100,75,75,100,HIGH,LOW,HIGH
42,,,50,,,0,,,50,,,0,,,50,,,50,25,25,50,LOW,LOW,HIGH
43,,,50,,,100,,,100,,,50,,,100,,,50,75,75,75,LOW,LOW,HIGH
44,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,HIGH,LOW,HIGH
45,,,100,,,50,,,100,,,100,,,50,,,100,75,100,75,LOW,LOW,LOW
46,,,100,,,0,,,100,,,100,,,100,,,50,50,100,75,HIGH,LOW,HIGH
47,,,100,,,0,,,50,,,50,,,100,,,100,50,50,100,HIGH,LOW,HIGH
48,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,LOW,LOW,HIGH
49,,,50,,,50,,,100,,,50,,,100,,,50,50,75,75,LOW,LOW,HIGH
50,,,50,,,0,,,100,,,50,,,50,,,50,25,75,50,LOW,HIGH,HIGH
51,,,100,,,50,,,100,,,100,,,100,,,50,75,100,75,HIGH,LOW,HIGH
52,,,50,,,50,,,100,,,0,,,100,,,100,50,50,100,LOW,LOW,HIGH
53,,,100,,,50,,,100,,,50,,,100,,,100,75,75,100,HIGH,LOW,HIGH
54,,,50,,,0,,,100,,,50,,,100,,,100,25,75,100,HIGH,LOW,HIGH
55,,,50,,,0,,,0,,,0,,,0,,,0,25,0,0,HIGH,HIGH,LOW
56,,,100,,,0,,,100,,,50,,,100,,,50,50,75,75,LOW,HIGH,LOW
57,,,50,,,0,,,50,,,0,,,100,,,50,25,25,75,HIGH,HIGH,LOW
58,,,100,,,50,,,100,,,50,,,100,,,50,75,75,75,HIGH,LOW,HIGH
59,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,HIGH,LOW,HIGH
60,,,50,,,100,,,100,,,50,,,100,,,50,75,75,75,HIGH,LOW,HIGH
61,,,100,,,0,,,100,,,100,,,100,,,100,50,100,100,HIGH,HIGH,LOW
62,,,100,,,50,,,50,,,50,,,100,,,0,75,50,50,LOW,HIGH,HIGH
63,,,100,,,50,,,100,,,50,,,100,,,100,75,75,100,LOW,HIGH,HIGH
64,,,100,,,50,,,100,,,50,,,100,,,100,75,75,100,HIGH,LOW,HIGH
65,,,50,,,0,,,50,,,50,,,100,,,50,25,50,75,LOW,HIGH,LOW
66,,,100,,,100,,,100,,,100,,,100,,,50,100,100,75,LOW,LOW,HIGH
67,,,100,,,50,,,100,,,100,,,100,,,100,75,100,100,LOW,HIGH,LOW
68,,,100,,,100,,,50,,,50,,,50,,,100,100,50,75,LOW,LOW,HIGH
69,,,50,,,100,,,100,,,50,,,100,,,100,75,75,100,LOW,LOW,HIGH
70,,,100,,,100,,,100,,,50,,,50,,,100,100,75,75,HIGH,LOW,HIGH
71,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,LOW,LOW,LOW
72,,,50,,,100,,,100,,,50,,,100,,,100,75,75,100,LOW,LOW,HIGH
73,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,HIGH,HIGH,LOW
74,,,50,,,100,,,100,,,100,,,100,,,50,75,100,75,LOW,LOW,HIGH
75,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,LOW,HIGH,HIGH
76,,,100,,,100,,,100,,,100,,,100,,,100,100,100,100,LOW,HIGH,HIGH
77,,,100,,,100,,,100,,,50,,,100,,,50,100,75,75,HIGH,HIGH,LOW
78,,,50,,,100,,,100,,,50,,,100,,,100,75,75,100,LOW,LOW,HIGH
79,,,50,,,50,,,100,,,50,,,50,,,100,50,75,75,LOW,LOW,HIGH
80,,,50,,,0,,,100,,,0,,,0,,,0,25,50,0,HIGH,LOW,LOW
81,,,0,,,100,,,0,,,50,,,100,,,50,50,25,75,LOW,LOW,LOW
82,,,50,,,50,,,100,,,50,,,100,,,100,50,75,100,LOW,LOW,HIGH
83,,,100,,,100,,,100,,,50,,,100,,,0,100,75,50,HIGH,HIGH,HIGH
84,,,50,,,50,,,100,,,0,,,100,,,0,50,50,50,LOW,LOW,HIGH
85,,,100,,,50,,,50,,,50,,,100,,,50,75,50,75,HIGH,LOW,HIGH
86,,,50,,,100,,,100,,,50,,,100,,,100,75,75,100,HIGH,LOW,HIGH
87,,,100,,,50,,,100,,,50,,,100,,,100,75,75,100,LOW,HIGH,HIGH
88,,,50,,,50,,,100,,,50,,,50,,,0,50,75,25,HIGH,HIGH,LOW
89,,,50,,,0,,,0,,,50,,,50,,,100,25,25,75,HIGH,HIGH,LOW
90,,,50,,,100,,,100,,,50,,,100,,,50,75,75,75,HIGH,HIGH,HIGH
91,,,50,,,100,,,100,,,50,,,100,,,100,75,75,100,HIGH,LOW,HIGH
92,,,0,,,0,,,50,,,0,,,0,,,50,0,25,25,HIGH,LOW,LOW
93,,,100,,,0,,,100,,,50,,,50,,,100,50,75,75,LOW,LOW,HIGH
94,,,50,,,0,,,50,,,50,,,50,,,0,25,50,25,LOW,HIGH,HIGH
95,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,HIGH,LOW,HIGH
96,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,HIGH,LOW,HIGH
97,,,50,,,100,,,50,,,0,,,100,,,50,75,25,75,LOW,HIGH,HIGH
98,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,HIGH,HIGH,LOW
99,,,50,,,100,,,100,,,100,,,100,,,100,75,100,100,LOW,LOW,HIGH
100,,,0,,,50,,,0,,,50,,,50,,,50,25,25,50,LOW,LOW,HIGH
101,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,LOW,LOW,LOW
102,,,100,,,50,,,0,,,100,,,0,,,50,75,50,25,HIGH,LOW,HIGH
103,,,50,,,0,,,50,,,100,,,100,,,0,25,75,50,HIGH,HIGH,HIGH
104,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,LOW,HIGH,LOW
105,,,100,,,100,,,100,,,50,,,100,,,50,100,75,75,LOW,LOW,HIGH
106,,,50,,,100,,,100,,,100,,,100,,,0,75,100,50,HIGH,LOW,LOW
107,,,50,,,50,,,100,,,50,,,100,,,100,50,75,100,LOW,LOW,HIGH
108,,,100,,,0,,,100,,,50,,,100,,,100,50,75,100,HIGH,LOW,HIGH
109,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,LOW,LOW,HIGH
110,,,0,,,0,,,0,,,0,,,0,,,50,0,0,25,HIGH,HIGH,HIGH
111,,,100,,,50,,,0,,,50,,,0,,,50,75,25,25,LOW,LOW,HIGH
112,,,50,,,50,,,100,,,100,,,50,,,0,50,100,25,HIGH,LOW,LOW
113,,,100,,,50,,,50,,,50,,,50,,,0,75,50,25,LOW,LOW,HIGH
114,,,50,,,0,,,0,,,50,,,50,,,0,25,25,25,LOW,LOW,LOW
115,,,50,,,0,,,0,,,50,,,0,,,50,25,25,25,LOW,HIGH,LOW
116,,,100,,,0,,,0,,,50,,,0,,,50,50,25,25,LOW,LOW,LOW
117,,,50,,,100,,,100,,,50,,,50,,,0,75,75,25,HIGH,HIGH,HIGH
118,,,0,,,100,,,100,,,50,,,100,,,100,50,75,100,HIGH,LOW,HIGH
119,,,100,,,50,,,100,,,100,,,100,,,50,75,100,75,HIGH,LOW,HIGH
120,,,50,,,50,,,0,,,0,,,50,,,0,50,0,25,LOW,HIGH,LOW
121,,,50,,,0,,,50,,,100,,,100,,,50,25,75,75,HIGH,LOW,LOW
122,,,100,,,100,,,100,,,50,,,50,,,0,100,75,25,LOW,LOW,HIGH
123,,,100,,,100,,,100,,,100,,,100,,,50,100,100,75,HIGH,HIGH,LOW
124,,,100,,,0,,,100,,,50,,,100,,,100,50,75,100,LOW,LOW,LOW
125,,,100,,,100,,,50,,,50,,,50,,,50,100,50,50,LOW,LOW,LOW
126,,,100,,,0,,,100,,,0,,,100,,,50,50,50,75,LOW,LOW,HIGH
127,,,50,,,50,,,100,,,50,,,50,,,100,50,75,75,HIGH,HIGH,HIGH
128,,,100,,,50,,,100,,,100,,,50,,,50,75,100,50,HIGH,HIGH,HIGH
129,,,100,,,100,,,100,,,50,,,100,,,0,100,75,50,LOW,HIGH,HIGH
130,,,50,,,50,,,0,,,0,,,0,,,50,50,0,25,LOW,LOW,LOW
131,,,100,,,100,,,100,,,50,,,50,,,100,100,75,75,LOW,LOW,HIGH
132,,,100,,,100,,,100,,,0,,,100,,,100,100,50,100,LOW,LOW,HIGH
133,,,50,,,100,,,100,,,50,,,50,,,100,75,75,75,LOW,LOW,HIGH
134,,,50,,,100,,,100,,,50,,,100,,,100,75,75,100,HIGH,LOW,HIGH
135,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,LOW,LOW,HIGH
136,,,50,,,50,,,100,,,50,,,100,,,0,50,75,50,LOW,LOW,LOW
137,,,50,,,0,,,50,,,50,,,100,,,100,25,50,100,LOW,HIGH,HIGH
138,,,100,,,100,,,50,,,50,,,100,,,100,100,50,100,LOW,LOW,HIGH
139,,,100,,,100,,,50,,,50,,,100,,,100,100,50,100,HIGH,LOW,HIGH
140,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,HIGH,HIGH,HIGH
141,,,100,,,100,,,50,,,100,,,100,,,100,100,75,100,LOW,LOW,HIGH
142,,,50,,,0,,,0,,,0,,,0,,,0,25,0,0,LOW,LOW,HIGH
143,,,100,,,50,,,50,,,0,,,100,,,100,75,25,100,LOW,LOW,HIGH
144,,,100,,,100,,,50,,,50,,,50,,,0,100,50,25,LOW,LOW,HIGH
145,,,50,,,50,,,100,,,50,,,50,,,50,50,75,50,HIGH,LOW,HIGH
146,,,50,,,100,,,100,,,50,,,50,,,100,75,75,75,LOW,HIGH,HIGH
147,,,100,,,100,,,0,,,50,,,100,,,100,100,25,100,LOW,HIGH,HIGH
148,,,100,,,50,,,100,,,0,,,0,,,0,75,50,0,LOW,LOW,HIGH
149,,,100,,,50,,,100,,,100,,,100,,,0,75,100,50,HIGH,LOW,LOW
150,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,LOW,LOW,LOW
151,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,LOW,LOW,HIGH
152,,,100,,,0,,,100,,,0,,,0,,,50,50,50,25,LOW,LOW,LOW